movie_id;title;release_year;runtime;original_language;genres;revenue
49026;The Dark Knight Rises;2012;165;en;Action,Crime,Drama,Thriller;1084939099
271110;Captain America: Civil War;2016;147;en;Adventure,Action,Science Fiction;1153304495
62211;Monsters University;2013;104;en;Animation,Family;743559607
1930;The Amazing Spider-Man;2012;136;en;Action,Adventure,Fantasy;752215857
10764;Quantum of Solace;2008;106;en;Adventure,Action,Thriller,Crime;586090727
99861;Avengers: Age of Ultron;2015;141;en;Action,Adventure,Science Fiction;1405403694
2454;The Chronicles of Narnia: Prince Caspian;2008;150;en;Adventure,Family,Fantasy;419651413
534;Terminator Salvation;2009;115;en;Action,Science Fiction,Thriller;371353001
19995;Avatar;2009;162;en;Action,Adventure,Fantasy,Science Fiction;2787965087
285;Pirates of the Caribbean: At World's End;2007;169;en;Adventure,Fantasy,Action;961000000
44833;Battleship;2012;131;en;Thriller,Action,Adventure,Science Fiction;303025485
122917;The Hobbit: The Battle of the Five Armies;2014;144;en;Action,Adventure,Fantasy;956019788
64682;The Great Gatsby;2013;143;en;Drama,Romance;351040419
1452;Superman Returns;2006;154;en;Adventure,Fantasy,Action,Science Fiction;391081192
558;Spider-Man 2;2004;127;en;Action,Adventure,Fantasy;783766341
20526;TRON: Legacy;2010;125;en;Adventure,Action,Science Fiction;400062763
559;Spider-Man 3;2007;139;en;Fantasy,Action,Adventure;890871626
91314;Transformers: Age of Extinction;2014;165;en;Science Fiction,Action,Adventure;1091405097
206647;Spectre;2015;148;en;Action,Adventure,Crime;880674609
8373;Transformers: Revenge of the Fallen;2009;150;en;Science Fiction,Action,Adventure;836297228
20662;Robin Hood;2010;140;en;Action,Adventure;310669540
58;Pirates of the Caribbean: Dead Man's Chest;2006;151;en;Adventure,Fantasy,Action;1065659812
36668;X-Men: The Last Stand;2006;104;en;Adventure,Action,Science Fiction,Thriller;459359555
168259;Furious 7;2015;137;en;Action;1506249360
41154;Men in Black 3;2012;106;en;Action,Comedy,Science Fiction;624026776
57158;The Hobbit: The Desolation of Smaug;2013;161;en;Adventure,Fantasy;958400000
1865;Pirates of the Caribbean: On Stranger Tides;2011;136;en;Adventure,Action,Fantasy;1045713802
10193;Toy Story 3;2010;103;en;Animation,Family,Comedy;1066969703
597;Titanic;1997;194;en;Drama,Romance,Thriller;1845034188
209112;Batman v Superman: Dawn of Justice;2016;151;en;Action,Adventure,Fantasy;873260194
2268;The Golden Compass;2007;113;en;Adventure,Fantasy;372234864
37724;Skyfall;2012;143;en;Action,Adventure,Thriller;1108561013
127585;X-Men: Days of Future Past;2014;131;en;Action,Adventure,Fantasy,Science Fiction;747862775
38757;Tangled;2010;100;en;Animation,Family;591794936
135397;Jurassic World;2015;124;en;Action,Adventure,Science Fiction,Thriller;1513528810
24428;The Avengers;2012;143;en;Science Fiction,Action,Adventure;1519557910
81005;Jack the Giant Slayer;2013;114;en;Action,Family,Fantasy;197687603
102382;The Amazing Spider-Man 2;2014;142;en;Action,Adventure,Fantasy;705717432
68721;Iron Man 3;2013;130;en;Action,Adventure,Science Fiction;1215439994
44912;Green Lantern;2011;114;en;Adventure,Action,Thriller,Science Fiction;219851172
57201;The Lone Ranger;2013;149;en;Action,Adventure,Western;89289910
49521;Man of Steel;2013;143;en;Action,Adventure,Fantasy,Science Fiction;662845518
49013;Cars 2;2011;106;en;Animation,Family,Adventure,Comedy;559852396
49529;John Carter;2012;132;en;Action,Adventure,Science Fiction;284139100
68728;Oz: The Great and Powerful;2013;130;en;Fantasy,Adventure,Family;491868548
54138;Star Trek Into Darkness;2013;132;en;Action,Adventure,Science Fiction;467365246
12155;Alice in Wonderland;2010;108;en;Family,Fantasy,Adventure;1025491110
254;King Kong;2005;187;en;Adventure,Drama,Action;550000000
767;Harry Potter and the Half-Blood Prince;2009;153;en;Adventure,Fantasy,Family;933959197
72190;World War Z;2013;116;en;Action,Drama,Horror,Science Fiction,Thriller;531865000
